index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
808,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.873873874,0.625,-28.47938144
809,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.910714286,0.857142857,-5.882352941
810,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.837837838,0.375,-55.24193548
811,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.783783784,0.875,11.63793103
812,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.855855856,0.75,-12.36842105
813,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.801801802,0.375,-53.23033708
814,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.774774775,0.5,-35.46511628
815,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.711711712,0.375,-47.31012658
816,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.810810811,0.625,-22.91666667
817,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.693693694,0.875,26.13636364
818,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.630630631,0.375,-40.53571429
819,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.873873874,0.625,-28.47938144
820,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.828828829,0.75,-9.510869565
821,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.828828829,0.75,-9.510869565
822,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.747747748,0.875,17.01807229
823,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.801801802,0.625,-22.0505618
824,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,3,1.00E-05,0.8125,1,23.07692308
825,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.81981982,0.625,-23.76373626
826,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.567567568,0.625,10.11904762
827,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.594594595,0.625,5.113636364
828,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.747747748,0.375,-49.84939759
829,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.738738739,0.5,-32.31707317
830,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.684684685,0.375,-45.23026316
831,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.765765766,0.625,-18.38235294
832,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.774774775,0.875,12.93604651
833,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.756756757,0.5,-33.92857143
834,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.828828829,0.875,5.570652174
835,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.783783784,0.875,11.63793103
836,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.810810811,0.75,-7.5
837,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.792792793,0.875,10.36931818
838,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.837837838,0.625,-25.40322581
839,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,6,4,0.1,0.830357143,1,20.43010753
840,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.774774775,0.5,-35.46511628
841,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.846846847,0.875,3.324468085
842,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.684684685,0.625,-8.717105263
843,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.828828829,0.5,-39.67391304
844,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.864864865,0.625,-27.734375
845,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.810810811,0.5,-38.33333333
846,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.846846847,0.375,-55.71808511
847,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.846846847,0.875,3.324468085
848,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.81981982,0.625,-23.76373626
849,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.621621622,0.75,20.65217391
850,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.792792793,0.75,-5.397727273
851,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.837837838,0.875,4.435483871
852,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.846846847,0.75,-11.43617021
853,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.702702703,0.5,-28.84615385
854,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,6,4,0.01,0.830357143,0.857142857,3.225806452
855,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.828828829,0.375,-54.75543478
856,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.81981982,0.75,-8.516483516
857,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.846846847,0.625,-26.19680851
858,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.846846847,0.375,-55.71808511
859,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.891891892,0.75,-15.90909091
860,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.810810811,0.375,-53.75
861,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.765765766,0.375,-51.02941176
862,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.765765766,0.875,14.26470588
863,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.774774775,0.25,-67.73255814
864,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.927927928,0.75,-19.17475728
865,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.837837838,0.875,4.435483871
866,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.765765766,0.75,-2.058823529
867,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.675675676,0.625,-7.5
868,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.837837838,0.625,-25.40322581
869,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,6,4,0.001,0.732142857,0.714285714,-2.43902439
870,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.891891892,0.625,-29.92424242
871,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.765765766,0.75,-2.058823529
872,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.837837838,0.75,-10.48387097
873,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.864864865,0.5,-42.1875
874,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.711711712,0.5,-29.74683544
875,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.837837838,0.5,-40.32258065
876,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.801801802,0.375,-53.23033708
877,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.675675676,0.875,29.5
878,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.810810811,0.5,-38.33333333
879,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.81981982,0.875,6.730769231
880,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.801801802,0.875,9.129213483
881,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.711711712,0.875,22.94303797
882,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.864864865,0.75,-13.28125
883,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.792792793,0.5,-36.93181818
884,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,4,0.0001,0.669642857,0.714285714,6.666666667
885,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.864864865,0.625,-27.734375
886,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.828828829,0.875,5.570652174
887,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.585585586,0.625,6.730769231
888,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.783783784,0.5,-36.20689655
889,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.738738739,0.5,-32.31707317
890,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.612612613,0.375,-38.78676471
891,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.837837838,0.375,-55.24193548
892,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.756756757,0.875,15.625
893,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.72972973,0.5,-31.48148148
894,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.864864865,0.375,-56.640625
895,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.792792793,0.75,-5.397727273
896,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.783783784,0.75,-4.310344828
897,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.828828829,0.875,5.570652174
898,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.711711712,0.5,-29.74683544
899,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,6,4,1.00E-05,0.794642857,0.714285714,-10.11235955
