index,parameters,max_depth,n_estimators,training,validation,overfit_%
226,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.72972973,0.625,-14.35185185
227,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.657657658,0.75,14.04109589
228,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.675675676,0.125,-81.5
229,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.801801802,0.375,-53.23033708
230,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.702702703,0.375,-46.63461538
231,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.603603604,0.5,-17.1641791
232,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.675675676,0.75,11
233,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.612612613,0.375,-38.78676471
234,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.666666667,0.5,-25
235,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.72972973,0.5,-31.48148148
236,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.675675676,0.75,11
237,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.72972973,0.25,-65.74074074
238,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.684684685,0.375,-45.23026316
239,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.758928571,0.571428571,-24.70588235
240,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.747747748,0.125,-83.28313253
241,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.72972973,0.625,-14.35185185
242,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.702702703,0.5,-28.84615385
243,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.657657658,0.25,-61.98630137
244,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.81981982,0.375,-54.25824176
245,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.711711712,0.375,-47.31012658
246,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.648648649,0.5,-22.91666667
247,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.684684685,0.75,9.539473684
248,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.621621622,0.5,-19.56521739
249,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.702702703,0.5,-28.84615385
