index,parameters,oversample_SMOTE__sampling_strategy,kn_class__n_neighbors,kn_class__weights,kn_class__algorithm,kn_class__p,training,validation,overfit_%
99,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.954954955,1,4.716981132
100,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.936936937,1,6.730769231
101,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.954954955,1,4.716981132
102,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.945945946,1,5.714285714
103,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.954954955,0.875,-8.372641509
104,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.946428571,1,5.660377358
105,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.918918919,0.875,-4.779411765
106,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.927927928,1,7.766990291
107,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.936936937,1,6.730769231
108,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.945945946,0.75,-20.71428571
109,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.945945946,0.625,-33.92857143
110,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.927927928,1,7.766990291
111,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.927927928,1,7.766990291
112,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 900, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,900,uniform,brute,2,0.918918919,1,8.823529412
